"PremisesPostCode","Liberal.National.Coalition.Votes","Australian.Labor.Party.Votes","TotalVotes","Electorate","PartyAb","PartyGrouping","LaborMargin","State..Territory1","Statistical.Area.Level.4..SA4.2","Individuals.no.","Taxable.income.or.loss4.no.","Taxable.income.or.loss4..","Salary.or.wages.no.","Salary.or.wages..","HELP.debt.balance.no.","HELP.debt.balance..","Average.HELP.debt","HecsPostcodeShare","Average.Income","Average.Salary","Average.HECS.Average.Salary"
3918,331,306,637,"Flinders","LP","Coalition",-1.96232339089482,"VIC","Mornington Peninsula",2575,2551,166871948,1969,125856966,343,7133378,20797.0204081633,13.3203883495146,65414.3269306154,63919.2310817674,0.325364057986854
3919,337,323,660,"Flinders","LP","Coalition",-1.06060606060606,"VIC","Mornington Peninsula",1909,1892,109820167,1611,94721313,273,5977452,21895.4285714286,14.3006809848088,58044.4857293869,58796.5940409683,0.372392804865062
3922,2838,3099,5937,"Monash","LP","Coalition",2.19807983830217,"VIC","Latrobe - Gippsland",5586,5509,299525857,3847,206551759,725,16003430,22073.6965517241,12.9788757608306,54370.2771827918,53691.6451780608,0.4111197650681
3925,544,599,1143,"Monash","LP","Coalition",2.40594925634296,"VIC","Latrobe - Gippsland",2600,2572,158835818,1836,110693938,385,8496433,22068.6571428571,14.8076923076923,61755.7612752722,60290.8159041394,0.366036797013091
3926,433,538,971,"Flinders","LP","Coalition",5.40679711637488,"VIC","Mornington Peninsula",2181,2161,230545260,1386,100663724,321,7632708,23777.9065420561,14.7180192572215,106684.525682554,72628.9494949495,0.327388826458375
3927,206,299,505,"Flinders","LP","Coalition",9.20792079207921,"VIC","Mornington Peninsula",1078,1058,106471191,655,48535574,144,3283533,22802.3125,13.3580705009276,100634.396030246,74100.1129770992,0.307723046347407
3929,242,191,433,"Flinders","LP","Coalition",-5.8891454965358,"VIC","Mornington Peninsula",723,713,109077079,349,29631371,81,2327009,28728.5061728395,11.2033195020747,152983.280504909,84903.6418338109,0.33836600589021
3930,2796,2503,5299,"Dunkley","ALP","Labor",-2.76467257973202,"VIC","Mornington Peninsula",11515,11404,1211213721,8093,704216410,1648,39085747,23717.0794902913,14.3117672600955,106209.551122413,87015.4961077474,0.272561561459392
3931,12932,9859,22791,"Flinders","LP","Coalition",-6.74169628362073,"VIC","Mornington Peninsula",14979,14854,1063193872,10712,730328093,1967,44433840,22589.649211998,13.1317177381668,71576.2671334321,68178.5000933532,0.331330979429984
3933,299,165,464,"Flinders","LP","Coalition",-14.4396551724138,"VIC","Mornington Peninsula",720,705,65095273,482,34752568,90,2127780,23642,12.5,92333.7205673759,72100.7634854772,0.327902214305429
3934,2156,1861,4017,"Flinders","LP","Coalition",-3.67189444859348,"VIC","Mornington Peninsula",12080,11962,1002411426,8595,623739754,1681,37919569,22557.744794765,13.9155629139073,83799.6510616954,72570.0702734148,0.310840883986698
3936,1631,1259,2890,"Flinders","LP","Coalition",-6.43598615916955,"VIC","Mornington Peninsula",7694,7598,514116454,5377,336782769,1011,23191660,22939.3273986152,13.1401091759813,67664.7083443011,62633.9536916496,0.366244281999932
3937,377,476,853,"Flinders","LP","Coalition",5.80304806565064,"VIC","Mornington Peninsula",1053,1042,121194766,643,56586065,150,3448491,22989.94,14.2450142450142,116309.756238004,88003.2115085536,0.261239784388612
3939,11120,8859,19979,"Flinders","LP","Coalition",-5.65844136343161,"VIC","Mornington Peninsula",8589,8510,514497569,6250,361686606,1182,25009346,21158.4991539763,13.7617883339155,60457.9987074031,57869.85696,0.365622109081783
3941,1273,1401,2674,"Flinders","LP","Coalition",2.39341810022439,"VIC","Mornington Peninsula",7637,7557,479712003,5148,311363920,1059,22255914,21015.9716713881,13.8667015843918,63479.1587931719,60482.5019425019,0.34747192983794
3942,455,367,822,"Flinders","LP","Coalition",-5.35279805352798,"VIC","Mornington Peninsula",1686,1657,141985269,959,72218056,186,4265239,22931.3924731183,11.0320284697509,85688.1526855763,75305.5849843587,0.30451117905639
3943,463,258,721,"Flinders","LP","Coalition",-14.2163661581137,"VIC","Mornington Peninsula",1241,1226,156703846,582,44711003,119,3298653,27719.7731092437,9.58904109589041,127817.16639478,76823.029209622,0.360826348484731
3944,151,50,201,"Flinders","LP","Coalition",-25.1243781094527,"VIC","Mornington Peninsula",586,574,130014160,243,23997904,53,1680536,31708.2264150943,9.04436860068259,226505.505226481,98756.8065843621,0.321073832900904
3945,191,157,348,"Monash","LP","Coalition",-4.88505747126437,"VIC","Latrobe - Gippsland",643,631,35618072,414,24468673,76,1801575,23704.9342105263,11.8195956454121,56447.0237717908,59103.0748792271,0.401077850162038
3950,908,780,1688,"Monash","LP","Coalition",-3.7914691943128,"VIC","Latrobe - Gippsland",2870,2836,160943075,2170,124596932,380,8154146,21458.2789473684,13.2404181184669,56750.0264456982,57417.9410138249,0.373720801695097
3951,318,172,490,"Monash","LP","Coalition",-14.8979591836735,"VIC","Latrobe - Gippsland",669,653,34934018,436,23528487,71,1762119,24818.5774647887,10.6128550074738,53497.730474732,53964.4197247706,0.459906315890516
3953,2083,1299,3382,"Monash","LP","Coalition",-11.5907746895328,"VIC","Latrobe - Gippsland",4891,4825,275676836,3442,191134401,590,12769081,21642.5101694915,12.0629728071969,57135.0955440414,55530.0409645555,0.389744177990177
3956,890,670,1560,"Monash","LP","Coalition",-7.05128205128205,"VIC","Latrobe - Gippsland",1660,1630,91761108,1017,54985665,201,4371282,21747.671641791,12.1084337349398,56295.1582822086,54066.5339233038,0.402239057392531
3959,308,323,631,"Monash","LP","Coalition",1.18858954041205,"VIC","Latrobe - Gippsland",729,714,39725849,443,24745164,95,2097092,22074.6526315789,13.0315500685871,55638.443977591,55858.158013544,0.395191202442201
3960,583,597,1180,"Monash","LP","Coalition",0.593220338983045,"VIC","Latrobe - Gippsland",1556,1535,84973240,962,53188552,154,3303571,21451.7597402597,9.89717223650386,55357.1596091205,55289.5550935551,0.387989371662719
3962,253,230,483,"Monash","LP","Coalition",-2.38095238095239,"VIC","Latrobe - Gippsland",522,501,22866769,355,18890017,56,1288511,23009.125,10.727969348659,45642.253493014,53211.3154929577,0.432410377132006
3971,1654,494,2148,"Gippsland","NP","Coalition",-27.0018621973929,"VIC","Latrobe - Gippsland",2322,2259,110189544,1610,86534369,235,4499888,19148.4595744681,10.1205857019811,48778.0185922975,53748.0552795031,0.356263300595554
3975,4487,7032,11519,"Holt","ALP","Labor",11.0469658824551,"VIC","Melbourne - South East",10783,10624,664536636,9208,601636229,1715,44791162,26117.2956268222,15.9046647500696,62550.5116716867,65338.4262597741,0.399723365282543
3976,1811,3192,5003,"Holt","ALP","Labor",13.8017189686188,"VIC","Melbourne - South East",14153,13909,717491257,11868,638795302,2205,56409058,25582.3392290249,15.5797357450717,51584.6758933065,53825.0170205595,0.47528715539938
3977,20431,25534,45965,"Holt","ALP","Labor",5.5509626890025,"VIC","Melbourne - South East",68492,67632,4046612497,58568,3595349960,9935,230522521,23203.0720684449,14.505343689774,59832.8083895198,61387.6171288075,0.377976425111251
3978,2936,3126,6062,"La Trobe","LP","Coalition",1.56713955790168,"VIC","Melbourne - South East",28771,28413,1745538328,25341,1600604753,4388,99494382,22674.1982680036,15.2514684925793,61434.4957589836,63162.6515528195,0.358981102131889
3980,816,643,1459,"Holt","ALP","Labor",-5.92871830020562,"VIC","Melbourne - South East",2129,2112,131503797,1720,106748963,234,4182967,17875.9273504274,10.9910756223579,62265.0553977273,62063.3505813953,0.288027107511434
3981,1168,669,1837,"La Trobe","LP","Coalition",-13.5819270549809,"VIC","Melbourne - South East",3219,3151,192014560,2579,153823953,369,6708132,18179.2195121951,11.4631873252563,60937.6578863853,59644.8053509112,0.304791329357862
3984,1403,1194,2597,"Monash","LP","Coalition",-4.02387370042356,"VIC","Latrobe - Gippsland",4375,4317,252358259,3435,202810553,547,10857864,19849.8427787934,12.5028571428571,58456.85869817,59042.3735080058,0.336196558495432
3987,411,257,668,"Monash","LP","Coalition",-11.5269461077844,"VIC","Latrobe - Gippsland",944,929,54713427,735,44615343,99,2245818,22685.0303030303,10.4872881355932,58894.9698600646,60701.1469387755,0.373716666769261
3988,301,212,513,"Monash","LP","Coalition",-8.67446393762184,"VIC","Latrobe - Gippsland",712,700,37656587,486,27420157,86,1769382,20574.2093023256,12.0786516853933,53795.1242857143,56420.0761316872,0.364661140376776
3992,188,216,404,"Monash","LP","Coalition",3.46534653465347,"VIC","Latrobe - Gippsland",771,758,40272968,592,31599218,105,2202707,20978.1619047619,13.6186770428016,53130.5646437995,53377.0574324324,0.393018328732662
3995,5627,6124,11751,"Monash","LP","Coalition",2.11471364139222,"VIC","Latrobe - Gippsland",6385,6298,326675125,4665,240631855,889,18968907,21337.3532058493,13.9232576350822,51869.6610034932,51582.3912111468,0.413655759356079
3996,630,741,1371,"Monash","LP","Coalition",4.04814004376368,"VIC","Latrobe - Gippsland",3792,3750,238782815,2458,153035266,507,11802470,23279.033530572,13.370253164557,63675.4173333333,62260.0756712775,0.373899859253004
4000,15133,22664,37797,"Brisbane","GRN","Greens",9.96243088075774,"QLD","Brisbane Inner City",15199,14917,1268961898,12711,861588067,2937,89615231,30512.5062989445,19.323639713139,85068.1704095998,67782.8705058611,0.450150695466728
4005,2432,3236,5668,"Brisbane","GRN","Greens",7.0924488355681,"QLD","Brisbane Inner City",12508,12379,1614634012,9907,963093308,3143,104234208,33163.9223671651,25.1279181323953,130433.315453591,97213.4155647522,0.341145531966987
4006,679,1485,2164,"Brisbane","GRN","Greens",18.6229205175601,"QLD","Brisbane Inner City",19238,19011,1566681908,16902,1258764516,5401,176002385,32586.9996296982,28.0746439338809,82409.231918363,74474.2939297125,0.437560370299761
4007,2937,1841,4778,"Brisbane","GRN","Greens",-11.4692339891168,"QLD","Brisbane Inner City",11075,10958,1459193886,8517,814074692,2202,66171270,30050.5313351499,19.882618510158,133162.42799781,95582.3285194317,0.31439421701304
4011,3285,2504,5789,"Brisbane","GRN","Greens",-6.74555190879254,"QLD","Brisbane Inner City",10695,10572,1246628316,8596,796391111,2262,65395454,28910.457117595,21.1500701262272,117917.926220204,92646.7090507213,0.312050556504575
4012,1502,3226,4728,"Lilley","ALP","Labor",18.2318104906937,"QLD","Brisbane - North",15919,15777,1288437448,13711,1079990554,3603,99870039,27718.5786844296,22.6333312393995,81665.5541611206,78768.182772956,0.35190070036688
